,title,href,tag,summary
0,"Seal off last Mariupol fighters, Putin tells forces",/news/live/world-europe-61157670,Europe,The Russian president orders his defence minister to blockade the Azovstal steel plant so not even a fly can escape.
1,Macron and Le Pen clash in TV debate,https://www.bbc.com/news/world-europe-61166601,Europe,
2,Queen celebrates 96th birthday in Sandringham,https://www.bbc.com/news/uk-61167593,UK,
3,The soaring cost of return-to-work,https://www.bbc.com/worklife/article/20220420-the-sky-high-cost-of-returning-to-the-office,Worklife,
4,The return of Bali's lost 'superfood',https://www.bbc.com/travel/article/20220408-the-return-of-balis-lost-superfood,Travel,
5,Russian tycoon lambasts country's 'massacre',/news/business-61163546,Business,Businessman Oleg Tinkov is one of the most high profile Russians to publicly condemn the war.
6,Russia releases video of nuclear-capable missile test,/news/world-61170853,World,President Putin says the new Sarmat missile is food for thought for those who try to threaten Russia.
7,Why this face recognition firm is so controversial,/news/world-us-canada-61123510,US & Canada,"If you're reading this, your face is probably on one of the more than 20bn images in this database."
8,Russians who denounce war 'should play Wimbledon',/sport/tennis/61172686,Tennis,"Russian and Belarusian players who speak out against Russia's invasion of Ukraine should be allowed to compete at Wimbledon, says Elina Svitolina."
9,'A cruel painfest' - cycling's oldest & toughest classic turns 130,/sport/cycling/61160344,Cycling,"Liege-Bastogne-Liege rarely fails to test riders. In its 130th year, a legend of the race looks back on his most remarkable win."
10,"Premier League reaction - Man City, Arsenal & Newcastle win, Everton rescue draw",/sport/live/football/61172629,Football,"All the reaction after Manchester City, Arsenal and Newcastle enjoy victories while Everton salvage a morale-boosting point."
11,What if we stopped all mining tomorrow?,/reel/video/p0c2dcm9/what-if-we-stopped-all-mining-tomorrow-,,
12,The truth behind the legend of the 'sword in the stone',/reel/video/p0c1ymsq/the-truth-behind-the-legend-of-the-sword-in-the-stone-,,
13,The country with the happiest children in the world,/reel/video/p09z5rlp/how-societal-pressures-shape-motherhood,,
14,The people left out of Covid-19 trials,https://www.bbc.com/future/article/20220419-how-effective-are-covid-19-vaccines-for-people-with-hiv,Future,HIV-positive people were excluded from the initial Covid-19 vaccine studies.
15,How a fossil altered Earth's timeline,https://www.bbc.com/travel/article/20220419-australias-trail-where-life-began,Travel,A trail in Australia reveals 570 million years of history
16,The women judged for their sex lives,https://www.bbc.com/culture/article/20220420-a-very-british-scandal-the-women-judged-for-their-sex-lives,Culture,Can TV dramas help to rethink sex scandals?
17,The parents inventing new surnames,https://www.bbc.com/worklife/article/20220414-the-parents-creating-new-last-names-for-their-children,Worklife,A baby taking the father's last name? It's not that simple anymore
18,Attenborough named 'Champion of the Earth' by UN,https://www.bbc.com/news/science-environment-61167925,Science & Environment,The broadcaster is recognised for his devotion to telling stories about the natural world
19,Abortion 'should not be a silent topic' in film,https://www.bbc.com/news/entertainment-arts-61150391,Entertainment & Arts,Award-winning director Audrey Diwan talks about how her own abortion led her to make her new film
20,What makes the Queen laugh?,https://www.bbc.com/news/uk-61067187,UK,"As she turns 96, the Queen's sense of humour is hailed as an important, if often hidden, quality"
21,The forest tended by an elusive giant,/future/article/20220414-how-africas-forest-elephants-help-fight-climate-change,,
22,What would happen if we stopped mining?,/future/article/20220413-how-ending-mining-would-change-the-world,,
23,The world's most polluted capital city,/future/article/20220405-the-fungi-cleaning-new-delhis-air,,
24,Netflix hints at password sharing crackdown,/news/business-61153252,Business,"The firm needs to sign up new subscribers after losing 200,000 in the first quarter of the year."
25,Many protected areas do not help wildlife - study,/news/science-environment-61164969,Science & Environment,
26,Depp says ex-wife abused and demeaned him,/news/world-us-canada-61168837,US & Canada,
27,Woman caught Covid twice within record 20 days,/news/health-61161529,Health,
28,'Sip and shop': The retailers tempting you in with alcohol,https://www.bbc.co.uk/news/business-61077756,Business,
29,Climate change and farming driving insect decline,/news/science-environment-61165279,Science & Environment,
30,A$AP Rocky arrested in connection with shooting,/news/entertainment-arts-61174333,Entertainment & Arts,
31,Reflective moments and unusual views,/news/in-pictures-61072096,In Pictures,
32,"Africa's top shots: Celestial bodies, pastries and greens",/news/world-africa-61092881,Africa,
33,Whip-wielding demons kick off Easter in El Salvador,/news/world-latin-america-61078955,Latin America & Caribbean,
34,Memorial to lost children wins global photo contest,/news/in-pictures-61014501,In Pictures,
35,"Africa's top shots: Prayers, pastries and portraits",/news/world-africa-61021573,Africa,
