,title,href,tag,summary
0,Biden says three objects likely not spy balloons,/news/live/world-us-canada-64670366,US & Canada,"The US president says that if any aerial object threatens America, ""I will take it down""."
1,Trump 2020 probe witnesses may have lied - report,/news/world-us-canada-64656296,US & Canada,
2,Pastor dies attempting to copy 40-day Jesus fast,https://www.bbc.com/news/world-africa-64659798,Africa,
3,A walk through India's 'City of Death',https://www.bbc.com/travel/article/20230215-varanasi-indias-holy-city-of-death,Travel,
4,The hidden reasons there's no male pill,https://www.bbc.com/future/article/20230216-the-weird-reasons-male-birth-control-pills-are-scorned,Future,
5,Train firm pulls out of Ohio toxic fallout meeting,/news/world-us-canada-64659795,US & Canada,East Palestine residents are left without answers after train company cites security concerns.
6,"No deal with Putin on territory, Zelensky tells BBC",/news/world-europe-64662184,Europe,Ukraine's leader speaks to John Simpson before the anniversary of Russia's invasion on 24 February.
7,World's largest ice rink closed due to lack of ice,/weather/features/64669328,Features,"The Rideau Canal in Ottawa, Canada, normally becomes a skating rink running 7.8km (4.8 miles) in winter. However, this year it may not open due to higher seasonal temperatures."
8,Europa League: Man Utd draw thrilling contest with Barcelona - reaction,/sport/live/football/64321940,Football,Follow live 5 Live commentary & live text coverage updates of the Europa League play-off round first leg as Manchester United visit Barcelona
9,Arnold Clark Cup: England 0-0 South Korea - radio & text,/sport/live/football/64605434,Football,Listen to BBC Radio 5 Live commentary and follow updates as holders England take on South Korea in the Arnold Clark Cup.
10,Man Utd and Barcelona contest thrilling draw,/sport/football/64653702,European Football,Manchester United and Barcelona contest a thrilling first-leg draw at the Nou Camp to leave their Europa League play-off tie finely poised.
11,The greatest literary hoax of the 20th Century,/reel/video/p0f3h03g/ern-malley-the-influential-australian-poet-who-never-lived,,
12,The ancient Indian mega-port that mysteriously vanished,/reel/video/p0f377b2/muziris-the-first-emporium-of-india-lost-for-700-years,,
13,The most powerful pirate the world has ever seen,/reel/video/p0cgfmwn/zheng-yi-sao-the-most-successful-pirate-in-history,,
14,The gory new Winnie the Pooh horror,https://www.bbc.com/culture/article/20230215-the-gory-new-winnie-the-pooh-horror-causing-a-storm,Culture,How a new horror movie has turned Winnie the Pooh into an axe-wielding murderer
15,The Gen Z workers struggling to cope,https://www.bbc.com/worklife/article/20230215-are-gen-z-the-most-stressed-generation-in-the-workplace,Worklife,Why pressure and stress is especially burning out young employees
16,Should the unborn get a say on climate?,https://www.bbc.com/future/article/20230215-should-future-generations-have-climate-rights,Future Planet,How long-term thinking can help in the climate crisis
17,How pesticides harm human health,https://www.bbc.com/future/article/20230215-how-pesticides-harm-human-health,Future,The chemicals destroying our sense of smell
18,The US' first farm-to-table restaurant,https://www.bbc.com/travel/article/20230214-alice-waters-food-revolutionary,Travel,Alice Waters has been redefining the future of food for more than 50 years
19,Raquel Welch: A life in pictures,https://www.bbc.com/news/world-us-canada-64658155,US,The US actress and model appeared in more than 30 movies and 50 television shows
20,Letter arrives more than 100 years late,https://www.bbc.com/news/uk-england-london-64647166,UK,A letter sent from Bath in February 1916 finally arrives in south London
21,The cities built to be reusable,/future/article/20230207-can-we-design-cities-for-disassembly,,
22,The next frontier for heat pumps,/future/article/20230131-can-city-dwellers-ever-have-heat-pumps,,
23,Are ski trips coming to an end?,/future/article/20230124-how-climate-change-threatens-to-close-ski-resorts,,
24,Vast glacier at mercy of sea warmth increase,/news/science-environment-64640796,Science & Environment,New research suggests that even low amounts of melting can potentially push a glacier towards...
25,"Bruce Willis has dementia, family announces",/news/entertainment-arts-64670521,Entertainment & Arts,
26,Anger after former conjoined twin dies of malaria,/news/uk-england-oxfordshire-64651816,Oxford,
27,Bottled water booming despite worries over waste,https://www.bbc.co.uk/news/business-64635190,Business,
28,I'm suing the website that matched me with my abuser,/news/technology-64618791,Technology,
29,Dislodged fuel filter blamed for UK rocket failure,/news/science-environment-64644880,Science & Environment,
30,A-list stars attend Vivienne Westwood memorial,/news/entertainment-arts-64666516,Entertainment & Arts,
31,Vigils held in UK and Ireland for Brianna Ghey,/news/uk-64658794,UK,
32,England's Big Picture: Images of the nation,/news/uk-england-64619278,England,
33,In pictures: President Zelensky visits the UK,/news/in-pictures-64573568,In Pictures,
34,Royal photos win British Press Photo Award,/news/in-pictures-64513500,In Pictures,
35,Earthquake destruction in before and after pictures,/news/world-europe-64544998,Europe,
