,title,href,tag,summary
0,Strikes and protests as pressure mounts on Israel's Netanyahu,/news/live/world-middle-east-65085001,Middle East,"The PM's proposed changes to the country's justice system have sparked turmoil, with widespread shutdowns."
1,'Mega strike' halts Germany's transport network,https://www.bbc.com/news/world-europe-65083774,Europe,
2,Why was the Mississippi tornado so destructive?,https://www.bbc.com/news/world-us-canada-65072195,US,
3,The return of the X-planes?,https://www.bbc.com/future/article/20230324-how-x-planes-may-solve-the-sonic-boom-problem,Future,
4,The 300-year-old pet portraits,https://www.bbc.com/culture/article/20230324-from-gainsborough-to-hockney-the-300-year-old-pet-portraits,Culture,
5,Fire and fury as Israelis take to the streets,/news/world-middle-east-65083930,Middle East,Thousands of protesters take to the street as Israel's PM Netanyahu fires his defence minister.
6,Failed lender Silicon Valley Bank bought by rival,/news/business-65084248,Business,The collapsed lender was seized by US regulators after a run on the bank.
7,Harry arrives at High Court for hearing,/news/entertainment-arts-65087072,Entertainment & Arts,The Duke of Sussex has accused the publisher of the Daily Mail of unlawful information gathering.
8,Latest football news & vote on Conte's successor,/sport/live/football/65081838,Football,Reaction as Antonio Conte leaves Tottenham after Bukayo Saka and Harry Kane inspire England to a Euro 2024 qualifying win against Ukraine.
9,Who should be Conte's long-term Spurs successor?,/sport/football/65037269,Football,"Tottenham will be looking for a new manager this summer after the departure of Antonio Conte, but who do you think they should appoint?"
10,Is impressive Maddison now 'undroppable'?,/sport/football/65083534,Football,"After waiting a long time for his first England start, James Maddison says he hopes he has gained the manager's trust."
11,How dirty coal could create a clean energy future,/reel/video/p0fbsw4s/heating-homes-using-abandoned-coal-mines,,
12,What do banks really do with your money?,/reel/video/p0fby1fg/what-does-a-bank-do-with-your-money-,,
13,Four Japanese principles to lead a good life,/reel/video/p0fbmyc4/four-japanese-principles-to-lead-a-good-life,,
14,A heritage hotel run by princesses,https://www.bbc.com/travel/article/20230326-a-heritage-hotel-run-by-princesses,Travel,They've transformed the opulent palace into an award-winning boutique hotel
15,Eight ways plants can improve your home,https://www.bbc.com/culture/article/20230324-eight-ways-indoor-plants-can-improve-your-home,Culture,"From tiny terrariums to tiger-print statements, how plants enhance any interior"
16,Why the Alps are crumbling,https://www.bbc.com/future/article/20230322-how-climate-change-is-melting-permafrost-in-the-alps,Future,Ancient permafrost deep in the rock is melting with dangerous consequences
17,Why workers are live-quitting on TikTok,https://www.bbc.com/worklife/article/20230321-quittok-why-young-workers-are-live-quitting-on-tiktok,Worklife,#quittok: The young employees streaming their resignations
18,Eurovision's pre-party season begins in Barcelona,https://www.bbc.com/news/entertainment-arts-65066094,Entertainment & Arts,Contestants begin the build-up to Liverpool by performing for fans across Europe
19,Actor Jonathan Majors arrested on assault charges,https://www.bbc.co.uk/news/world-65081847,World,The Hollywood star's was involved in a domestic dispute with a 30-year-old woman on Saturday
20,The web firm that wants to stop you getting 'cancelled',https://www.bbc.com/news/business-65050160,Business,Website and app Rumble says it offers an uncensored rival to the likes of YouTube and Twitter
21,Can kelp help people travel the world?,/future/article/20230323-climate-change-how-seaweed-could-power-planes,,
22,Shipping's wind power revolution,/future/article/20230310-will-shipping-return-to-its-ancient-roots,,
23,A better way to make concrete,/future/article/20230309-how-carbon-negative-concrete-can-help-the-climate,,
24,Bank shares hit as investor nerves return,/news/business-65064378,Business,"Worries over the financial strength of the sector persist, with Deutsche Bank down 14% at one point."
25,Linda Nolan reveals cancer has spread to her brain,/news/entertainment-arts-65086268,Entertainment & Arts,
26,OneWeb launch completes space internet project,/news/science-environment-65066669,Science & Environment,
27,Farewell to Tech Tent,https://www.bbc.co.uk/sounds/play/w3ct4kjb,Technology,
28,Have we found the 'animal origin' of Covid?,/news/science-environment-65067264,Science & Environment,
29,Your pictures on the theme of 'machinery',/news/in-pictures-65026997,In Pictures,
30,Utah first US state to limit teen social media use,/news/world-us-canada-65060733,US & Canada,
31,Northern lights dazzle in parts of UK overnight,/weather/features/65061790,Features,
32,Blazes and blast-offs: Photos of the week,/news/in-pictures-65062963,In Pictures,
33,A lover's embrace and purple royals: Africa's top shots,/news/world-africa-65049764,Africa,
34,Cherry blossoms draw spectators and photographers,/news/uk-england-birmingham-65043539,Birmingham & Black Country,
35,Photos saved from tip to be added to city archive,/news/uk-england-coventry-warwickshire-64980965,Coventry & Warwickshire,
